athleteID,age,sex,height,weight
1109,19,M,,
1110,,M,,
1111,25,M,,
1112,25,M,,
1113,,M,,
1114,20,M,,
1115,22,M,,
1116,19,M,,
1117,30,M,,
1118,22,M,,
1119,25,M,,
1120,24,M,,
1121,21,M,,
1122,16,M,,
1123,,M,,
1124,40,M,,
1125,31,M,,
1126,,M,,
1127,30,M,,
1128,23,M,190,88
1129,20,M,,
1130,22,M,,
1131,20,M,,
1132,,M,,
1133,31,M,,61
1134,31,M,,61
1135,63,M,165,
1136,24,M,180,
1137,24,M,180,
1138,,M,,
1139,,M,,70
1140,24,M,,
1141,24,M,,
1142,22,M,,
1143,22,M,,
1144,27,M,,
1145,29,M,,
1146,24,M,,
1147,29,M,165,
1148,25,M,,
1149,27,M,,
1150,24,M,,
1151,23,M,,
1152,23,M,,
1153,59,M,,
1154,18,M,,
1155,26,M,,
1156,33,M,,
1157,19,M,,
1158,17,M,,
1159,49,M,180,
1160,49,M,180,
1161,49,M,180,
1162,,F,,
1163,23,M,,
1164,23,M,,
1165,24,M,,
1166,56,M,,
1167,56,M,,
1168,56,M,,
1169,17,M,,
1170,17,M,,
1171,30,M,,
1172,16,M,,
1173,,M,,
1174,22,M,,
1175,22,M,,
1176,25,M,,
1177,19,M,176,74
1178,29,M,,
1179,22,M,,
1180,22,M,,
1181,24,M,173,66
1182,18,M,,61
1183,37,M,183,
1184,37,M,183,
1185,37,M,183,
1186,37,M,183,
1187,37,M,183,
1188,23,M,,
1189,23,M,,
1190,36,M,,
1191,21,M,,
1192,21,M,,
1193,34,M,,
1194,24,M,,
1195,24,M,,
1196,24,M,,
1197,23,M,187,83
1198,23,M,187,83
1199,28,M,,
1200,24,M,171,
1201,20,M,176,71
1202,20,M,176,71
1203,28,M,,
1204,24,M,,
1205,27,M,,
1206,22,M,,
1207,,M,,
1208,,M,,
1209,26,M,,
1210,,M,,
1211,31,M,,
1212,22,M,,
1213,23,M,163,
1214,23,M,163,
1215,21,M,,
1216,63,M,,
1217,63,M,,
1218,63,M,,
1219,24,M,,
1220,29,M,,
1221,,M,176,105
1222,,M,,
1223,17,M,178,
1224,59,M,,
1225,58,F,,
1226,,M,,
1227,24,M,,
1228,24,M,,
1229,40,M,,75
1230,26,M,,66
1231,20,M,,
1232,20,M,,
1233,19,M,,
1234,39,F,,
1235,22,M,170,57
1236,26,M,,
1237,30,M,,
1238,30,M,,
1239,21,M,,
1240,31,M,,
1241,31,M,,
1242,40,M,,
1243,22,M,,
1244,26,M,,70
1245,31,M,,
1246,23,M,,
1247,,M,,
1248,21,M,,73
1249,21,M,,
1250,18,M,188,85
1251,27,M,,
1252,26,M,,
1253,24,M,182,77
1254,36,M,,
1255,43,M,,
1256,26,M,,
1257,36,M,,
1258,21,M,,
1259,21,M,,
1260,23,M,,
1261,23,M,,
1262,21,M,,
1263,49,M,,
1264,23,M,183,77
1265,22,M,161,69
1266,26,M,,
1267,26,M,,
1268,24,M,178,
1269,25,M,,77
1270,25,M,,77
1271,33,M,170,
1272,22,M,,75
1273,,M,,
1274,28,M,,
1275,30,M,185,99
1276,30,M,185,99
1277,34,M,,
1278,23,M,,
1279,20,M,,
1280,37,M,,
1281,30,M,,
1282,30,M,,
1283,26,M,,
1284,16,M,170,65
1285,16,M,170,65
1286,35,M,,
1287,24,M,,
1288,23,M,173,
1289,40,M,,
1290,32,M,,
1291,28,M,,
1292,20,M,,
1293,18,M,,
1294,23,M,,
1295,21,M,,
1296,30,M,,
1297,44,M,,
1298,39,M,,68
1299,38,M,,
1300,26,M,,
1301,17,M,,
1302,21,M,,
1303,22,M,,
1304,26,M,179,60
1305,20,M,,
1306,31,M,,
1307,26,F,,
1308,24,M,,
1309,29,M,,
1310,19,M,172,70
1311,19,M,,56
1312,22,M,,
1313,33,M,,
1314,25,M,167,
1315,21,M,180,68
1316,21,M,180,68
1317,30,M,,
1318,23,M,,
1319,32,M,,
1320,,M,,
1321,46,M,,
1322,19,M,,
1323,,M,,
1324,25,M,,
1325,24,M,,
1326,27,M,,
1327,25,M,,
1328,35,M,,
1329,22,M,,73
1330,33,M,,
1331,26,M,,
1332,20,M,,81
1333,23,M,,78
1334,32,M,,90
1335,24,M,,
1336,31,M,,
1337,23,M,,
1338,36,M,,100
1339,57,M,,
1340,37,M,,
1341,41,M,,
1342,32,M,,
1343,26,M,,
1344,30,M,,
1345,21,M,,
1346,39,M,,
1347,39,M,,
1348,28,M,175,
1349,28,M,,
1350,24,M,,
1351,24,M,170,
1352,46,M,,
1353,21,M,,
1354,25,M,182,71
1355,25,M,182,71
1356,21,M,,78
1357,30,M,,
1358,30,M,,
1359,38,M,,
1360,44,M,,
1361,24,M,,
1362,19,M,,
1363,38,M,,
1364,24,M,,
1365,33,M,,83
1366,19,M,179,76
1367,22,M,167,56
1368,54,M,,
1369,23,M,172,61
1370,27,M,170,
1371,37,M,,
1372,30,M,,
1373,19,M,,
1374,,M,,
1375,19,M,178,66
1376,27,M,,
1377,30,M,191,98
1378,27,M,160,52
1379,33,M,168,
1380,26,M,,
1381,,M,,
